ID,CATEGORY,ADRESS,NAME,W_DO,K_DO,DESCRIPTION
,1,강원도 동해시 동해대로 6270-10,망상해수욕장,37.59224924,129.0896915,
,1,강원도 동해시 동해대로 6370,망상오토캠핑리조트&망상해변한옥마을[해안],37.60042576,129.0784636,
,1,강원도 동해시 촛대바위길 6,추암촛대바위(추암해수욕장),37.47837985,129.1583016,
,1,강원도 동해시 촛대바위길 28,추암오토캠핑장,37.47709157,129.1591975,
,1,강원도 동해시 삼화로 538,무릉계곡,37.46346963,129.0193942,
,1,강원도 동해시 동굴로 50,천곡황금박쥐동굴,37.51752144,129.1104801,
,1,강원도 동해시 해맞이길 289,묵호등대,37.55483008,129.1184699,
,1,강원도 동해시 일출로 97,논골담길,37.55088099,129.1177884,
,1,강원도 동해시 삼화로 455,동해무릉건강숲,37.46510515,129.0313086,
,1,강원도 동해시 삼화로 467,무릉계곡 힐링캠프장,37.46439866,129.0265624,
,1,강원도 동해시 갯목길 1-1,북평민속시장,37.48372927,129.1250627,
,1,강원도 동해시 중앙시장길 12,묵호야시장(동쪽바다중앙시장),37.55104912,129.1085675,
,1,강원도 동해시 일출로 68 ,묵호항,37.55203177,129.1152027,
,1,강원도 동해시 촛대바위길 28,촛대바위,37.47709157,129.1591975,
,1,강원도 동해시 삼화동 산267 ,용추폭포,37.46357478,129.0145123,
,1,강원도 동해시 삼화동 산267-3,무릉반석,37.46357478,129.0145123,
,1,강원도 동해시 구미동 산53,만경대,37.48716814,129.1366706,
,1,강원도 동해시 구미동 산1,"호해정,할미바위",37.49160899,129.1424034,
,1,강원도 동해시 천곡동 산342-24,초록봉,37.52198383,129.0712683,
,1,강원도 동해시 동해대로 6270-14,망상제2오토캠핑장,37.5916032,129.0923204,
,1,강원도 동해시 묵호진동 2-109,도째비골 스카이밸리,37.55489,129.11965,
,1,강원도 동해시 묵호진동 13-48,도째비골 해랑전망대,37.55422,129.12035,
,1,강원 동해시 이기로 97 무릉별유천지 2주차장,무릉별유천지,37.478188,129.026796,
