시도명,시군구명,도로명전체주소,사업장명,좌표정보(x),좌표정보(y)
강원도,강릉시,강원도 강릉시 주문진읍 해안로 2070,주문진리조트,360126.8438,491480.0472
강원도,고성군,강원도 고성군 죽왕면 삼포해변길 9,오션투유,333830.541,535981.9927
강원도,고성군,"강원도 고성군 토성면 고성대로 75-16, 아이파크콘도",아이파크 콘도미니엄,331792.6151,524101.0279
강원도,고성군,강원도 고성군 토성면 동해대로 4800,(주)이랜드파크켄싱턴리조트설악비치,337573.9215,527804.865
강원도,고성군,강원도 고성군 토성면 미시령옛길 1153,소노문 델피노,331061.7503,524387.974
강원도,고성군,강원도 고성군 토성면 신평골길 8-25 (켄싱턴리조트설악밸리),(주)이랜드파크 켄싱턴리조트 설악밸리 1차,330704.7015,526441.4703
강원도,고성군,"강원도 고성군 토성면 신평골길 8-25, 켄싱턴리조트설악밸리",(주)이랜드파크 켄싱턴리조트 설악밸리,330529.8023,526093.9248
강원도,고성군,강원도 고성군 토성면 잼버리동로 267 (파인리즈컨트리클럽),파인리즈빌라 휴양콘도미니엄,334852.3453,528344.7234
강원도,고성군,강원도 고성군 토성면 잼버리동로 97,(주)포유리조트,332996.1137,526803.8088
강원도,고성군,강원도 고성군 현내면 금강산로 416,주식회사미봉,323827.6229,557255.9023
강원도,삼척시,강원도 삼척시 수로부인길 453 (갈천동),쏠비치 리조트 삼척,391420.6521,443183.7266
강원도,속초시,강원도 속초시 관광로408번길 14 (노학동),설악파인리조트 휴양콘도미니엄,334748.677,522552.478
강원도,속초시,강원도 속초시 사당골길 43 (노학동),금호리조트(주)설악,335609.2563,521287.9772
강원도,속초시,강원도 속초시 싸리재길 247-20 (노학동),연호콘도미니엄,336475.5081,521234.0667
강원도,속초시,강원도 속초시 영랑호반길 170 (금호동),주식회사 신세계영랑호리조트,338085.6804,524550.6985
강원도,속초시,"강원도 속초시 이목로 153, 현대훼미리타운휴양콘도미니엄 (노학동)",(주)현대수콘도미니엄,335346.036,522985.9302
강원도,양양군,강원도 양양군 손양면 선사유적로 678,쏠비치 리조트 양양,346081.8212,510801.1136
강원도,영월군,강원도 영월군 상동읍 섬지골길 113,재단법인 산림힐링재단,354812.8675,404601.919
강원도,영월군,강원도 영월군 영월읍 사지막길 160,에스엠 동강시스타,334737.9718,413950.4725
강원도,원주시,강원도 원주시 지정면 오크밸리1길 66,"HDC리조트 휴양콘도미니엄(A, B)",272283.4604,437226.4726
강원도,원주시,강원도 원주시 지정면 오크밸리1길 68,HDC리조트 휴양콘도미니엄(South),272363.3934,437039.6875
강원도,원주시,강원도 원주시 지정면 오크밸리2길 56,HDC리조트 휴양콘도미니엄(C),271382.5562,434267.1867
강원도,원주시,강원도 원주시 지정면 월송석화로 994,HDC리조트 휴양콘도미니엄(North),271671.961,437939.6599
강원도,인제군,강원도 인제군 기린면 상하답로 130,인제스피디움 콘도,313775.1569,501080.944
강원도,정선군,"강원도 정선군 고한읍 물한리길 8, 메이힐스리조트",디엘이앤씨(주) 정선리조트(MAYHILLS),362830.9934,413767.7416
강원도,정선군,강원도 정선군 고한읍 하이원길 265-1,하이원휴양콘도미니엄,362054.3568,413431.3935
강원도,정선군,"강원도 정선군 북평면 중봉길 9-12, 파크로쉬",파크로쉬 리조트앤웰니스,342461.7056,442634.3663
강원도,태백시,강원도 태백시 서학로 861 (황지동),주식회사 오투리조트,372751.0483,409184.1578
강원도,평창군,강원도 평창군 대관령면 솔봉로 325,강원도개발공사 알펜시아타운,347532.1367,463016.8965
강원도,평창군,강원도 평창군 봉평면 태기로 228-33,한화리조트/평창,317534.8384,453806.1085
강원도,홍천군,강원도 홍천군 서면 한치골길 262,소노펠리체 비발디파크,260173.2471,461255.1424
강원도,홍천군,강원도 홍천군 서면 한치골길 262,소노벨 타워 B 비발디파크,259927.6626,460597.297
강원도,홍천군,강원도 홍천군 서면 한치골길 262,소노벨 타워 A 비발디파크,259876.9538,460415.693
강원도,홍천군,강원도 홍천군 서면 한치골길 262,소노벨 타워 D 비발디파크,260069.1909,460831.7505
강원도,홍천군,강원도 홍천군 서면 한치골길 262,소노벨 타워 C 비발디파크,260030.2807,460691.714
강원도,홍천군,강원도 홍천군 서면 한치골길 262,소노펠리체 빌리지 A~D 비발디파크,260795.9905,461473.1392
강원도,홍천군,강원도 홍천군 서면 한치골길 262,소노펠리체 빌리지 E~H 비발디파크,260073.4471,462388.7867
강원도,홍천군,강원도 홍천군 서면 한치골길 262 (대명비발디파크),소노펠리체 빌리지 I~O 비발디파크,260423.5964,462154.4688
강원도,횡성군,강원도 횡성군 둔내면 고원로 451,신안종합리조트 타워형휴양콘도미니엄,310506.755,443916.785
강원도,횡성군,"강원도 횡성군 둔내면 조항로 316, 히든힐스",웰리힐리CC 페어웨이빌라(히든힐스),308622.5777,441862.9435
강원도,횡성군,강원도 횡성군 안흥면 서동로상안6길 31,횡성 서초휴양소,307314.3565,435525.4905
강원도,횡성군,강원도 횡성군 우천면 한우로 1295,알프스대영 골프빌리지,294579.1015,440769.1877
